id,name,parent_location,year,type,filings,filing_rate
110010066001,"District of Columbia, District of Columbia, 6600, 1",District of Columbia,2018,observed,5.0,1.21
110010067001,"District of Columbia, District of Columbia, 6700, 1",District of Columbia,2018,observed,10.0,3.69
110010067003,"District of Columbia, District of Columbia, 6700, 3",District of Columbia,2018,observed,3.0,1.9
110010068011,"District of Columbia, District of Columbia, 6801, 1",District of Columbia,2018,observed,35.0,10.57
110010068012,"District of Columbia, District of Columbia, 6801, 2",District of Columbia,2018,observed,4.0,5.26
110010068021,"District of Columbia, District of Columbia, 6802, 1",District of Columbia,2018,observed,4.0,3.03
110010068022,"District of Columbia, District of Columbia, 6802, 2",District of Columbia,2018,observed,13.0,6.84
110010069001,"District of Columbia, District of Columbia, 6900, 1",District of Columbia,2018,observed,12.0,2.87
110010070002,"District of Columbia, District of Columbia, 7000, 2",District of Columbia,2018,observed,8.0,4.57
110010071001,"District of Columbia, District of Columbia, 7100, 1",District of Columbia,2018,observed,22.0,12.09
110010071002,"District of Columbia, District of Columbia, 7100, 2",District of Columbia,2018,observed,29.0,5.22
110010072001,"District of Columbia, District of Columbia, 7200, 1",District of Columbia,2018,observed,102.0,5.77
110010072002,"District of Columbia, District of Columbia, 7200, 2",District of Columbia,2018,observed,140.0,9.69
110010073011,"District of Columbia, District of Columbia, 7301, 1",District of Columbia,2018,observed,1.0,0.08
110010073041,"District of Columbia, District of Columbia, 7304, 1",District of Columbia,2018,observed,194.0,29.57
110010073042,"District of Columbia, District of Columbia, 7304, 2",District of Columbia,2018,observed,70.0,33.02
110010073043,"District of Columbia, District of Columbia, 7304, 3",District of Columbia,2018,observed,144.0,85.21
110010074011,"District of Columbia, District of Columbia, 7401, 1",District of Columbia,2018,observed,7.0,3.91
110010074012,"District of Columbia, District of Columbia, 7401, 2",District of Columbia,2018,observed,48.0,11.79
110010074031,"District of Columbia, District of Columbia, 7403, 1",District of Columbia,2018,observed,801.0,83.79
110010074041,"District of Columbia, District of Columbia, 7404, 1",District of Columbia,2018,observed,196.0,43.65
110010074042,"District of Columbia, District of Columbia, 7404, 2",District of Columbia,2018,observed,35.0,14.46
110010074043,"District of Columbia, District of Columbia, 7404, 3",District of Columbia,2018,observed,53.0,71.62
110010074061,"District of Columbia, District of Columbia, 7406, 1",District of Columbia,2018,observed,532.0,94.49
110010074062,"District of Columbia, District of Columbia, 7406, 2",District of Columbia,2018,observed,197.0,50.64
110010074071,"District of Columbia, District of Columbia, 7407, 1",District of Columbia,2018,observed,71.0,23.83
110010074072,"District of Columbia, District of Columbia, 7407, 2",District of Columbia,2018,observed,318.0,56.68
110010074081,"District of Columbia, District of Columbia, 7408, 1",District of Columbia,2018,observed,290.0,32.19
110010074091,"District of Columbia, District of Columbia, 7409, 1",District of Columbia,2018,observed,249.0,88.3
110010074092,"District of Columbia, District of Columbia, 7409, 2",District of Columbia,2018,observed,122.0,28.98
110010074093,"District of Columbia, District of Columbia, 7409, 3",District of Columbia,2018,observed,456.0,91.75
110010075021,"District of Columbia, District of Columbia, 7502, 1",District of Columbia,2018,observed,254.0,23.89
110010075022,"District of Columbia, District of Columbia, 7502, 2",District of Columbia,2018,observed,115.0,26.44
110010075031,"District of Columbia, District of Columbia, 7503, 1",District of Columbia,2018,observed,25.0,16.23
110010075032,"District of Columbia, District of Columbia, 7503, 2",District of Columbia,2018,observed,97.0,21.32
110010075041,"District of Columbia, District of Columbia, 7504, 1",District of Columbia,2018,observed,207.0,22.12
110010076011,"District of Columbia, District of Columbia, 7601, 1",District of Columbia,2018,observed,81.0,28.52
110010076012,"District of Columbia, District of Columbia, 7601, 2",District of Columbia,2018,observed,6.0,11.11
110010076013,"District of Columbia, District of Columbia, 7601, 3",District of Columbia,2018,observed,97.0,20.86
110010076014,"District of Columbia, District of Columbia, 7601, 4",District of Columbia,2018,observed,88.0,30.77
110010076015,"District of Columbia, District of Columbia, 7601, 5",District of Columbia,2018,observed,18.0,7.89
110010076031,"District of Columbia, District of Columbia, 7603, 1",District of Columbia,2018,observed,18.0,6.29
110010076032,"District of Columbia, District of Columbia, 7603, 2",District of Columbia,2018,observed,10.0,3.95
110010076033,"District of Columbia, District of Columbia, 7603, 3",District of Columbia,2018,observed,5.0,9.62
110010076034,"District of Columbia, District of Columbia, 7603, 4",District of Columbia,2018,observed,101.0,15.68
110010076041,"District of Columbia, District of Columbia, 7604, 1",District of Columbia,2018,observed,129.0,19.69
110010076042,"District of Columbia, District of Columbia, 7604, 2",District of Columbia,2018,observed,232.0,103.57
110010076043,"District of Columbia, District of Columbia, 7604, 3",District of Columbia,2018,observed,150.0,39.89
110010076051,"District of Columbia, District of Columbia, 7605, 1",District of Columbia,2018,observed,4.0,15.38
110010076052,"District of Columbia, District of Columbia, 7605, 2",District of Columbia,2018,observed,429.0,41.61
110010076053,"District of Columbia, District of Columbia, 7605, 3",District of Columbia,2018,observed,46.0,26.44
110010077031,"District of Columbia, District of Columbia, 7703, 1",District of Columbia,2018,observed,82.0,38.5
110010077032,"District of Columbia, District of Columbia, 7703, 2",District of Columbia,2018,observed,37.0,12.89
110010077033,"District of Columbia, District of Columbia, 7703, 3",District of Columbia,2018,observed,493.0,46.25
110010077034,"District of Columbia, District of Columbia, 7703, 4",District of Columbia,2018,observed,63.0,26.14
110010077071,"District of Columbia, District of Columbia, 7707, 1",District of Columbia,2018,observed,93.0,11.64
110010077072,"District of Columbia, District of Columbia, 7707, 2",District of Columbia,2018,observed,4.0,3.74
110010077081,"District of Columbia, District of Columbia, 7708, 1",District of Columbia,2018,observed,293.0,51.22
110010077082,"District of Columbia, District of Columbia, 7708, 2",District of Columbia,2018,observed,188.0,54.65
110010077091,"District of Columbia, District of Columbia, 7709, 1",District of Columbia,2018,observed,52.0,10.88
110010077092,"District of Columbia, District of Columbia, 7709, 2",District of Columbia,2018,observed,29.0,7.13
110010078031,"District of Columbia, District of Columbia, 7803, 1",District of Columbia,2018,observed,683.0,158.47
110010078032,"District of Columbia, District of Columbia, 7803, 2",District of Columbia,2018,observed,9.0,7.26
110010078033,"District of Columbia, District of Columbia, 7803, 3",District of Columbia,2018,observed,12.0,24.49
110010078034,"District of Columbia, District of Columbia, 7803, 4",District of Columbia,2018,observed,99.0,17.46
110010078041,"District of Columbia, District of Columbia, 7804, 1",District of Columbia,2018,observed,48.0,22.12
110010078042,"District of Columbia, District of Columbia, 7804, 2",District of Columbia,2018,observed,27.0,6.75
110010078043,"District of Columbia, District of Columbia, 7804, 3",District of Columbia,2018,observed,8.0,7.62
110010078061,"District of Columbia, District of Columbia, 7806, 1",District of Columbia,2018,observed,225.0,109.76
110010078062,"District of Columbia, District of Columbia, 7806, 2",District of Columbia,2018,observed,117.0,34.31
110010078071,"District of Columbia, District of Columbia, 7807, 1",District of Columbia,2018,observed,141.0,50.0
110010078072,"District of Columbia, District of Columbia, 7807, 2",District of Columbia,2018,observed,111.0,43.19
110010078081,"District of Columbia, District of Columbia, 7808, 1",District of Columbia,2018,observed,82.0,21.98
110010078082,"District of Columbia, District of Columbia, 7808, 2",District of Columbia,2018,observed,81.0,23.34
110010078083,"District of Columbia, District of Columbia, 7808, 3",District of Columbia,2018,observed,15.0,125.0
110010078091,"District of Columbia, District of Columbia, 7809, 1",District of Columbia,2018,observed,182.0,54.82
110010078092,"District of Columbia, District of Columbia, 7809, 2",District of Columbia,2018,observed,89.0,55.97
110010079011,"District of Columbia, District of Columbia, 7901, 1",District of Columbia,2018,observed,94.0,38.68
110010079012,"District of Columbia, District of Columbia, 7901, 2",District of Columbia,2018,observed,5.0,2.84
110010079013,"District of Columbia, District of Columbia, 7901, 3",District of Columbia,2018,observed,68.0,29.44
110010079014,"District of Columbia, District of Columbia, 7901, 4",District of Columbia,2018,observed,120.0,35.4
110010079031,"District of Columbia, District of Columbia, 7903, 1",District of Columbia,2018,observed,24.0,8.79
110010080011,"District of Columbia, District of Columbia, 8001, 1",District of Columbia,2018,observed,3.0,3.06
110010080012,"District of Columbia, District of Columbia, 8001, 2",District of Columbia,2018,observed,1.0,0.61
110010080021,"District of Columbia, District of Columbia, 8002, 1",District of Columbia,2018,observed,10.0,4.18
110010080022,"District of Columbia, District of Columbia, 8002, 2",District of Columbia,2018,observed,12.0,3.57
